Activity_ID,Student_ID,Activity_Type,Activity_Category,Frequency_of_Participation,Duration_per_Session (Hours),Impact_on_Performance,Teacher_Supervisor,Parental_Support
594572,89131,Press Club,Extracurricular,Bi-weekly,2.17,Positive,Michael Ortega,Yes
285536,89131,Quiz Competition,Extracurricular,Bi-weekly,1.91,Negative,Stephanie Castillo,No
436434,44671,Basketball,Sports,Weekly,1.11,Positive,William Hart,Yes
378533,44671,Debate Club,Academic,Daily,2,Negative,Mr. Scott Mcmahon,No
441242,44671,Athletics,Sports,Daily,2.71,Negative,Brandon Velasquez,Yes
996405,15695,Athletics,Sports,Daily,2.47,Neutral,Jody Yoder,No
680701,15695,Chemistry Lab Work,Academic,Bi-weekly,2.55,Negative,Brian Brown,Yes
290476,15695,Basketball,Sports,Daily,1.35,Neutral,Toni Brewer,Yes
284076,15695,Cultural Day Rehearsals,Cultural,Bi-weekly,1.67,Neutral,Michael Gonzalez,No
925451,15695,Jets Club,Academic,Weekly,1.02,Neutral,Claudia Cunningham,Yes
710852,70217,Scrabble,Sports,Bi-weekly,2.51,Neutral,Tina Howe,Yes
441649,70217,Cultural Day Rehearsals,Cultural,Bi-weekly,1.13,Positive,Christopher Moses,No
744674,70217,Music Band,Cultural,Daily,2.09,Neutral,Jason Jackson,No
205706,80284,Debate Club,Academic,Monthly,1.23,Positive,Rebecca Sandoval,Yes
713602,80284,Debate Club,Academic,Daily,2.46,Neutral,Eric Tran,Yes
250861,80284,Drama Club,Extracurricular,Daily,1.9,Negative,Christopher Valdez,Yes
836593,80284,Cultural Day Rehearsals,Cultural,Daily,1.2,Positive,Rachel Foley,Yes
666402,80284,Mathematics Competitions,Academic,Weekly,1.62,Neutral,Justin Parker,No
538174,26361,Football,Sports,Bi-weekly,1.72,Neutral,Nathaniel Ford,Yes
879784,26361,Music Band,Cultural,Weekly,1.2,Negative,Colleen Morton,Yes
403922,59615,Traditional Dance,Cultural,Weekly,2.87,Positive,Alejandro Cook,No
366229,59615,Science Practical Sessions,Academic,Daily,1.27,Neutral,Tiffany Jimenez,Yes
850246,59615,Cultural Day Rehearsals,Cultural,Bi-weekly,2.71,Positive,Catherine Griffin,Yes
964937,59615,Drama Club,Extracurricular,Daily,1.37,Neutral,Lauren Smith,No
698782,59615,Drama Club,Extracurricular,Monthly,1.74,Neutral,Benjamin Brown,No
358462,20328,Press Club,Extracurricular,Weekly,1.69,Neutral,Linda Wolf,Yes
621877,20328,Chess,Sports,Bi-weekly,1.36,Neutral,Cindy Zimmerman,No
957211,20328,Scrabble,Sports,Bi-weekly,1.15,Neutral,Kevin Grant,Yes
644153,20328,Quiz Competition,Extracurricular,Monthly,1.94,Neutral,Chase Burnett,Yes
889314,20328,Cultural Day Rehearsals,Cultural,Monthly,2.22,Neutral,Brandy Diaz,Yes
864624,82357,Football,Sports,Bi-weekly,1.74,Positive,Shari Kelley,No
281682,82357,Traditional Dance,Cultural,Bi-weekly,2.63,Neutral,Andrew Juarez,Yes
612696,82357,Football,Sports,Bi-weekly,1.44,Neutral,Teresa Dyer,No
643816,82357,Debate Club,Academic,Weekly,2.38,Neutral,Sharon Gonzales,No
816803,82357,Quiz Competition,Extracurricular,Weekly,1.48,Negative,Patrick Bush,Yes
490272,48427,Drama Club,Extracurricular,Weekly,2.22,Positive,Heather Young,Yes
660977,92397,Science Practical Sessions,Academic,Weekly,2.21,Positive,Antonio Monroe,Yes
887068,91070,Mathematics Competitions,Academic,Bi-weekly,1.75,Neutral,Robin Williams,No
118179,91070,Traditional Dance,Cultural,Daily,2.7,Positive,Eric Nielsen,No
776758,91070,Quiz Competition,Extracurricular,Weekly,2.88,Negative,Kenneth Bauer,Yes
436314,57400,Social Events Planning,Extracurricular,Bi-weekly,2.78,Positive,Austin Conley,Yes
270922,57400,Scrabble,Sports,Weekly,2.06,Neutral,Shelby Duncan,Yes
198114,57400,Traditional Dance,Cultural,Weekly,2.9,Neutral,Chase Ray,Yes
917071,85674,Drama Club,Extracurricular,Monthly,1.45,Positive,Teresa Curry,No
796263,85674,Debate Club,Academic,Monthly,1.45,Negative,Eric Woods,No
785511,85674,Scrabble,Sports,Bi-weekly,1.87,Neutral,Kayla Brown,No
963239,85674,Volleyball,Sports,Monthly,1.35,Positive,Aaron Perry,Yes
592932,85674,Scrabble,Sports,Weekly,2.53,Positive,Michael Porter,No
738265,35203,Quiz Competition,Extracurricular,Weekly,2.75,Positive,Brianna Williams,No
258263,19116,Jets Club,Academic,Monthly,1.71,Neutral,Ashley Moore,No
820147,19116,Athletics,Sports,Bi-weekly,2.12,Positive,Toni Ortiz,Yes
889221,19116,Volleyball,Sports,Weekly,1.24,Neutral,Amy Obrien,Yes
882259,16006,Quiz Competition,Extracurricular,Daily,2.64,Neutral,Audrey Reyes,Yes
209581,16006,Press Club,Extracurricular,Weekly,1.95,Negative,Christopher Martinez,No
856726,16006,Chemistry Lab Work,Academic,Bi-weekly,2.31,Negative,Chad Cooper,Yes
878651,16006,Jets Club,Academic,Weekly,1.59,Positive,Olivia Randolph,No
307567,16006,Football,Sports,Bi-weekly,2.94,Positive,Nicole Lewis,Yes
407874,96673,Quiz Competition,Extracurricular,Monthly,1.38,Neutral,Jessica Rogers,Yes
662192,96673,Traditional Dance,Cultural,Weekly,2.72,Negative,Christopher Curtis,No
797453,39871,Traditional Dance,Cultural,Bi-weekly,2.26,Positive,Paula Garcia,No
901489,39871,Debate Club,Academic,Monthly,2.96,Neutral,Casey Davis,Yes
123812,39871,Mathematics Competitions,Academic,Bi-weekly,2.13,Positive,Melanie Garrett,Yes
247441,47930,Music Band,Cultural,Bi-weekly,1.27,Neutral,Shannon Ray,No
442506,47930,Debate Club,Academic,Daily,2.19,Neutral,Mrs. Donna Anderson,Yes
980794,47930,Music Band,Cultural,Bi-weekly,2.32,Negative,Cheryl Bradford,No
466975,47930,Music Band,Cultural,Weekly,2.99,Positive,Sara Jones,No
878160,47930,Traditional Dance,Cultural,Weekly,1.95,Neutral,April Galvan,Yes
850437,20458,Press Club,Extracurricular,Bi-weekly,2.51,Positive,Linda Anderson,No
828299,20458,Jets Club,Academic,Daily,1.58,Positive,Samantha Frank,Yes
339980,20458,Traditional Dance,Cultural,Daily,2.22,Negative,Barbara Hill,Yes
544451,20458,Debate Club,Academic,Weekly,2.54,Neutral,Krista Fernandez,No
506185,40512,Basketball,Sports,Daily,1.1,Negative,Thomas Lewis,No
128355,40512,Social Events Planning,Extracurricular,Bi-weekly,1.95,Neutral,Benjamin Newton,No
263756,23238,Chess,Sports,Monthly,1.98,Negative,William Conrad,Yes
542981,23238,Mathematics Competitions,Academic,Daily,2.04,Negative,Lucas Mendoza,Yes
684610,23238,Scrabble,Sports,Monthly,2.61,Positive,Antonio George Jr.,Yes
853759,23238,Athletics,Sports,Monthly,1.56,Neutral,Angela Simmons,Yes
719511,23238,Press Club,Extracurricular,Bi-weekly,2.74,Positive,Darren Martinez,Yes
395068,59823,Press Club,Extracurricular,Monthly,1.27,Negative,Theresa Rodriguez,No
434952,59823,Chemistry Lab Work,Academic,Weekly,2.86,Neutral,Sean Carey,No
817696,59823,Science Practical Sessions,Academic,Weekly,1.86,Neutral,Adrienne Haynes,Yes
399322,46434,Music Band,Cultural,Weekly,1.37,Positive,Anthony Smith,Yes
480828,46434,Cultural Day Rehearsals,Cultural,Monthly,2.98,Neutral,Jennifer Crawford,No
905738,46434,Debate Club,Academic,Bi-weekly,1.97,Neutral,Isabella Orozco,Yes
423233,46434,Debate Club,Academic,Bi-weekly,1.45,Positive,Jacqueline Lawrence,No
916190,69429,Cultural Day Rehearsals,Cultural,Daily,2.39,Positive,Mrs. Jessica Thompson MD,No
602867,69429,Traditional Dance,Cultural,Bi-weekly,1.49,Negative,Breanna Patrick,Yes
584175,69429,Traditional Dance,Cultural,Daily,1.08,Negative,Brian Peters,Yes
906519,69429,Volleyball,Sports,Weekly,2.28,Neutral,Richard Martinez,Yes
317285,93320,Traditional Dance,Cultural,Bi-weekly,2.73,Positive,Thomas Sparks,Yes
680746,93320,Science Practical Sessions,Academic,Monthly,2.11,Positive,Jerry Hill,No
194351,93320,Chess,Sports,Monthly,1.88,Negative,Jeff Williams Jr.,Yes
202161,93320,Debate Club,Academic,Monthly,1.42,Negative,Meagan West,No
255327,57819,Drama Club,Extracurricular,Daily,2.24,Negative,Sheena Rodriguez,No
459366,57819,Cultural Day Rehearsals,Cultural,Weekly,2.17,Neutral,Julie Gonzalez,No
144512,57819,Mathematics Competitions,Academic,Monthly,2.73,Neutral,Brian Brown,Yes
847237,57819,Cultural Day Rehearsals,Cultural,Weekly,2.14,Neutral,Bobby Williams,No
401701,57819,Volleyball,Sports,Monthly,2.46,Negative,Joseph Hill,No
414820,31319,Scrabble,Sports,Monthly,1.77,Negative,James Wilson,Yes
306101,31319,Traditional Dance,Cultural,Monthly,1.02,Negative,Keith White,No
657519,31319,Drama Club,Extracurricular,Bi-weekly,1.02,Neutral,Megan Griffin,No
837576,31319,Jets Club,Academic,Weekly,2.56,Neutral,David Johnson,Yes
226349,58520,Mathematics Competitions,Academic,Bi-weekly,2.83,Neutral,Felicia Cooke,Yes
942691,56566,Cultural Day Rehearsals,Cultural,Daily,2.97,Negative,Christina Powell,No
962543,37460,Athletics,Sports,Monthly,2.41,Negative,Teresa Weeks,No
979053,97841,Jets Club,Academic,Daily,1.26,Neutral,James Morrow,Yes
182767,97841,Basketball,Sports,Weekly,2.36,Negative,Austin Allen,No
244936,97841,Traditional Dance,Cultural,Monthly,1.65,Negative,Karen Johnson,No
378925,44993,Music Band,Cultural,Monthly,2.99,Negative,Jeffery Collins,No
446377,44993,Traditional Dance,Cultural,Bi-weekly,2.81,Neutral,Allison Jones,Yes
222137,44993,Scrabble,Sports,Weekly,1.4,Neutral,Kevin Estrada,No
230362,44993,Chemistry Lab Work,Academic,Daily,1.37,Negative,Amanda Curry,Yes
375454,44993,Music Band,Cultural,Bi-weekly,2.15,Negative,Kimberly David,No
171245,99593,Press Club,Extracurricular,Monthly,1.42,Negative,Kristine Graves,No
841875,99593,Mathematics Competitions,Academic,Daily,2.45,Negative,Debra Smith,No
361400,99593,Traditional Dance,Cultural,Daily,2.51,Positive,Michelle Stewart,No
280481,99593,Social Events Planning,Extracurricular,Bi-weekly,2.61,Neutral,Leroy Shaw,No
947073,94939,Social Events Planning,Extracurricular,Daily,2,Positive,Maria Harper,No
621043,94939,Cultural Day Rehearsals,Cultural,Daily,1.98,Neutral,Jennifer Obrien,Yes
616763,94939,Science Practical Sessions,Academic,Daily,2.84,Neutral,Maria Gonzalez,No
718992,94939,Music Band,Cultural,Monthly,2.88,Positive,Bryan Perry,Yes
732277,19358,Football,Sports,Daily,2.3,Positive,Eileen Jenkins,No
500560,19358,Press Club,Extracurricular,Weekly,2.02,Positive,Brittany Washington,Yes
151489,89840,Press Club,Extracurricular,Weekly,1.06,Negative,Mr. David Rivas,Yes
899219,89840,Athletics,Sports,Bi-weekly,2.31,Negative,Clayton Mclaughlin,Yes
640423,89840,Jets Club,Academic,Daily,1.34,Negative,Linda Aguilar,Yes
219473,93227,Drama Club,Extracurricular,Daily,2.77,Neutral,Jill Smith DDS,No
376943,93227,Quiz Competition,Extracurricular,Bi-weekly,1.32,Neutral,Jeffrey Travis,No
792398,93227,Mathematics Competitions,Academic,Monthly,1.64,Neutral,Daniel Williams,Yes
583122,93227,Music Band,Cultural,Bi-weekly,1.05,Neutral,Kimberly Jackson,Yes
193347,93227,Traditional Dance,Cultural,Monthly,1.74,Negative,Ryan Guerrero,Yes
791288,32431,Volleyball,Sports,Daily,1.57,Positive,Robert Burton,Yes
199696,80010,Debate Club,Academic,Weekly,2.62,Neutral,Stephanie Gardner,No
938007,80010,Social Events Planning,Extracurricular,Daily,2.2,Neutral,Jacob Miles,Yes
745093,80010,Cultural Day Rehearsals,Cultural,Daily,2.1,Positive,Linda Dyer,Yes
917930,80010,Traditional Dance,Cultural,Daily,1.52,Neutral,Stephanie Merritt,Yes
187556,42087,Science Practical Sessions,Academic,Weekly,2.32,Negative,Tonya Simon,No
663611,42087,Mathematics Competitions,Academic,Monthly,2.03,Neutral,Laurie Roberts,Yes
793618,42087,Scrabble,Sports,Daily,1.28,Negative,Robin York,No
673170,42087,Debate Club,Academic,Weekly,2.92,Neutral,Stephanie Torres,No
244955,31417,Chemistry Lab Work,Academic,Bi-weekly,1.42,Negative,Bryan Arroyo,Yes
473346,31417,Cultural Day Rehearsals,Cultural,Daily,1.46,Neutral,Nancy Hall,No
561744,31417,Traditional Dance,Cultural,Weekly,2.89,Positive,Jacqueline Randolph,Yes
665287,70589,Debate Club,Academic,Weekly,1.33,Neutral,Robert Green,No
149096,70589,Quiz Competition,Extracurricular,Daily,2.57,Negative,Francisco Estrada,Yes
969070,70589,Basketball,Sports,Daily,1.07,Neutral,Sarah James,No
189263,59735,Traditional Dance,Cultural,Weekly,2.88,Negative,Jamie Duran,No
800431,59735,Chemistry Lab Work,Academic,Weekly,1.6,Positive,Christopher Macdonald,Yes
807097,59735,Debate Club,Academic,Monthly,2.29,Negative,Debra Martin,No
802978,45382,Traditional Dance,Cultural,Weekly,2.4,Positive,Steven Hernandez,No
861481,45382,Debate Club,Academic,Monthly,1.14,Positive,Lauren Duarte,Yes
989121,45382,Athletics,Sports,Weekly,1.3,Neutral,Mark Adams,No
717445,93886,Athletics,Sports,Monthly,2.62,Neutral,Micheal Green,No
928868,93886,Mathematics Competitions,Academic,Bi-weekly,1.1,Negative,Kevin Rodriguez,Yes
547898,93886,Science Practical Sessions,Academic,Bi-weekly,2.82,Neutral,Steven May,No
285628,93886,Mathematics Competitions,Academic,Weekly,1.98,Negative,Mr. Robert Tran,Yes
335018,93886,Cultural Day Rehearsals,Cultural,Monthly,2.62,Negative,James Rodriguez,Yes
582596,83000,Chess,Sports,Weekly,2.44,Positive,Shannon Hopkins,Yes
772322,83000,Drama Club,Extracurricular,Weekly,1.26,Neutral,Edward Williams,Yes
734122,38785,Basketball,Sports,Daily,2.53,Positive,Michaela Campbell,No
739447,99733,Quiz Competition,Extracurricular,Daily,1.43,Neutral,Joshua Le,No
741522,52504,Traditional Dance,Cultural,Bi-weekly,1.39,Negative,Derek Hunt,Yes
259057,17331,Traditional Dance,Cultural,Bi-weekly,1.67,Positive,Adam Hoffman,No
207174,17331,Chemistry Lab Work,Academic,Monthly,2.35,Positive,Christopher Mahoney,No
708171,17331,Social Events Planning,Extracurricular,Monthly,2.25,Positive,Samantha Russell,Yes
668977,17331,Traditional Dance,Cultural,Weekly,1.95,Negative,April Ponce,Yes
927687,17331,Social Events Planning,Extracurricular,Monthly,2.56,Negative,Deborah Ross,No
830530,40021,Scrabble,Sports,Daily,2.98,Negative,Lisa Beard,No
244136,14207,Football,Sports,Daily,1.07,Neutral,Mrs. Brittany Archer,No
652819,14207,Football,Sports,Monthly,2.71,Negative,Kenneth Coleman,No
753513,14207,Music Band,Cultural,Bi-weekly,2.23,Positive,Ann Jones,Yes
969999,51347,Science Practical Sessions,Academic,Weekly,2.22,Neutral,Steven Gamble,Yes
360345,51347,Debate Club,Academic,Weekly,2.7,Neutral,Pedro Greene,No
954446,51347,Athletics,Sports,Monthly,2.24,Negative,Robert Harris,No
527168,62581,Drama Club,Extracurricular,Bi-weekly,1.65,Neutral,Daniel Cortez,No
100445,62581,Mathematics Competitions,Academic,Daily,1.61,Neutral,William Williams,No
366875,62581,Quiz Competition,Extracurricular,Bi-weekly,2.69,Negative,Jorge Morales,Yes
917636,45093,Cultural Day Rehearsals,Cultural,Daily,2.14,Negative,Alison Martin,No
